date,arriving_state,status
19/03/2020,New South Wales,1
19/03/2020,Victoria,0
19/03/2020,Queensland,1
19/03/2020,South Australia,1
19/03/2020,Western Australia,1
19/03/2020,Tasmania,1
19/03/2020,Northern Territory,1
19/03/2020,Australian Capital Territory,1
20/03/2020,New South Wales,1
20/03/2020,Victoria,0
20/03/2020,Queensland,1
20/03/2020,South Australia,1
20/03/2020,Western Australia,1
20/03/2020,Tasmania,3
20/03/2020,Northern Territory,1
20/03/2020,Australian Capital Territory,1
21/03/2020,New South Wales,1
21/03/2020,Victoria,0
21/03/2020,Queensland,1
21/03/2020,South Australia,1
21/03/2020,Western Australia,1
21/03/2020,Tasmania,3
21/03/2020,Northern Territory,2
21/03/2020,Australian Capital Territory,1
22/03/2020,New South Wales,1
22/03/2020,Victoria,0
22/03/2020,Queensland,1
22/03/2020,South Australia,1
22/03/2020,Western Australia,2
22/03/2020,Tasmania,3
22/03/2020,Northern Territory,2
22/03/2020,Australian Capital Territory,1
24/03/2020,New South Wales,1
24/03/2020,Victoria,0
24/03/2020,Queensland,1
24/03/2020,South Australia,2
24/03/2020,Western Australia,2
24/03/2020,Tasmania,3
24/03/2020,Northern Territory,2
24/03/2020,Australian Capital Territory,1
25/03/2020,New South Wales,1
25/03/2020,Victoria,0
25/03/2020,Queensland,5
25/03/2020,South Australia,2
25/03/2020,Western Australia,2
25/03/2020,Tasmania,3
25/03/2020,Northern Territory,2
25/03/2020,Australian Capital Territory,1
4/01/2020,New South Wales,1
4/01/2020,Victoria,0
4/01/2020,Queensland,9
4/01/2020,South Australia,2
4/01/2020,Western Australia,2
4/01/2020,Tasmania,3
4/01/2020,Northern Territory,2
4/01/2020,Australian Capital Territory,1
4/05/2020,New South Wales,1
4/05/2020,Victoria,0
4/05/2020,Queensland,9
4/05/2020,South Australia,2
4/05/2020,Western Australia,12
4/05/2020,Tasmania,3
4/05/2020,Northern Territory,2
4/05/2020,Australian Capital Territory,1
7/03/2020,New South Wales,1
7/03/2020,Victoria,0
7/03/2020,Queensland,12
7/03/2020,South Australia,2
7/03/2020,Western Australia,12
7/03/2020,Tasmania,3
7/03/2020,Northern Territory,2
7/03/2020,Australian Capital Territory,6
7/07/2020,New South Wales,12
7/07/2020,Victoria,0
7/07/2020,Queensland,12
7/07/2020,South Australia,2
7/07/2020,Western Australia,12
7/07/2020,Tasmania,3
7/07/2020,Northern Territory,7
7/07/2020,Australian Capital Territory,6
7/08/2020,New South Wales,12
7/08/2020,Victoria,0
7/08/2020,Queensland,12
7/08/2020,South Australia,2
7/08/2020,Western Australia,12
7/08/2020,Tasmania,12
7/08/2020,Northern Territory,7
7/08/2020,Australian Capital Territory,12
7/09/2020,New South Wales,12
7/09/2020,Victoria,0
7/09/2020,Queensland,12
7/09/2020,South Australia,9
7/09/2020,Western Australia,12
7/09/2020,Tasmania,12
7/09/2020,Northern Territory,7
